stfips,year,_nfd,post,asmrs,pcinc,asmrh,cases,weight,copop
1,1964,1971,0,35.63988494873047,12406.178536626427,5.007340908050537,0.012312242563072263,1715156,1715155.9968452454
1,1965,1971,0,41.54375457763672,13070.206738168634,4.42536735534668,0.010419406556172552,1715156,1725186.225315094
1,1966,1971,0,34.25233459472656,13526.663216672472,4.874818801879883,0.009900097090362086,1715156,1735218.6727600098
1,1967,1971,0,34.465023040771484,13918.189822726194,5.362014293670654,0.009974691951997775,1715156,1745250.2209701538
1,1968,1971,0,40.44010543823242,14684.808682325473,4.643759250640869,0.012400658604136095,1715156,1755283.1153182983
1,1969,1971,0,42.49011993408203,15638.876270398907,5.296975612640381,0.015006756108632488,1715156,1765316
1,1970,1971,0,44.23907470703125,16222.948376087923,4.7169389724731445,0.01970314181655694,1715156,1787363
1,1971,1971,1,49.91466522216797,16875.429944318046,4.992503643035889,0.022737450987761032,1715156,1809412
1,1972,1971,1,47.20313262939453,17976.755117173263,5.187022686004639,0.02355598077972205,1715156,1831191
1,1973,1971,1,41.03307342529297,18808.24655590135,5.085546016693115,0.025031525329604246,1715156,1853536
1,1974,1971,1,46.20281219482422,18726.044005789492,5.320888996124268,0.02433601866999025,1715156,1879094
1,1975,1971,1,39.24016571044922,19007.469935200483,5.509138584136963,0.026878137290359552,1715156,1907830
1,1976,1971,1,48.391910552978516,19851.200477009283,6.275654315948486,0.027322683473111887,1715156,1938304
1,1977,1971,1,40.519447326660156,20306.106891471234,5.924365043640137,0.028563072177334912,1715156,1962569
1,1978,1971,1,33.858314514160156,21214.73154628612,4.301365852355957,0.02935266631305135,1715156,1990864
1,1979,1971,1,36.346275329589844,21322.099822984084,4.907835960388184,0.03027991809443353,1715156,2009957
1,1980,1971,1,32.30293655395508,20977.435037407362,6.821157932281494,0.03117795860948514,1715156,2025456
1,1981,1971,1,42.33469009399414,21173.200155142666,4.539119243621826,0.029371464605042544,1715156,2036194
1,1982,1971,1,37.64971160888672,21060.714974369752,4.588431358337402,0.02684052974245247,1715156,2041319
1,1983,1971,1,41.425750732421875,21586.774736423657,4.41269063949585,0.026885758202649487,1715156,2045203
1,1984,1971,1,44.1710205078125,22701.93857484657,4.512165546417236,0.026561715772012075,1715156,2054834
1,1985,1971,1,39.968536376953125,23520.066898395,4.7222700119018555,0.025002052180706082,1715156,2066907
1,1986,1971,1,43.81794738769531,24343.559886732266,4.016051292419434,0.023762056752784665,1715156,2076879
1,1987,1971,1,42.04374313354492,24777.579701769693,4.8329033851623535,0.022349830086631887,1715156,2089300
1,1988,1971,1,44.654117584228516,25658.858779785103,4.99950647354126,0.021586496177525203,1715156,2093975
1,1989,1971,1,41.66688537597656,26735.59635623718,5.276378631591797,0.021394873031731262,1715156,2097952
